10000, 0.00908, 0.005
20000, 0.00553, 0.02
30000, 0.00396, 0.02
40000, 0.00334, 0.02
50000, 0.00296, 0.02
60000, 0.00269, 0.02
70000, 0.00248, 0.02
80000, 0.00232, 0.02
90000, 0.00221, 0.02
100000, 0.00208, 0.02
110000, 0.00195, 0.02
120000, 0.00186, 0.02
130000, 0.00179, 0.02
140000, 0.00171, 0.02
150000, 0.00163, 0.02
160000, 0.00158, 0.02
170000, 0.00151, 0.02
180000, 0.00150, 0.02
190000, 0.00142, 0.02
200000, 0.00134, 0.02
210000, 0.00135, 0.02
220000, 0.00130, 0.02
230000, 0.00127, 0.02
240000, 0.00123, 0.02
250000, 0.00118, 0.02
